epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,6007.78,0.50634,0.33355,0.88454,0.97965,0.81887,0.91865,0.57445,1.13807,0.64936,1.22486,0.0066835,0.0066835,0.0066835
69,6261.45,0.49919,0.33002,0.88112,0.87054,0.76574,0.86048,0.554,1.14535,0.742,1.25245,0.006634,0.006634,0.006634
70,6514.22,0.49376,0.32661,0.879,0.91863,0.76031,0.86063,0.55493,1.1643,0.69173,1.24903,0.0065845,0.0065845,0.0065845
71,6767.94,0.49847,0.32795,0.87754,0.89721,0.78248,0.83225,0.52394,1.16435,0.69994,1.23908,0.006535,0.006535,0.006535
72,7024.65,0.49133,0.32842,0.87742,0.9347,0.8442,0.90094,0.56998,1.1693,0.65326,1.23826,0.0064855,0.0064855,0.0064855
73,7277.43,0.48743,0.3232,0.87347,0.93687,0.76208,0.90082,0.56156,1.14955,0.66951,1.24078,0.006436,0.006436,0.006436
74,7529.49,0.48773,0.32376,0.87503,0.94005,0.80649,0.89353,0.57443,1.14976,0.62738,1.24827,0.0063865,0.0063865,0.0063865
75,7781.15,0.4808,0.31895,0.87207,0.94511,0.80294,0.90581,0.56852,1.15259,0.66231,1.23192,0.006337,0.006337,0.006337
76,8034.79,0.47893,0.31887,0.8711,0.89028,0.85014,0.8821,0.56339,1.17054,0.68293,1.27971,0.0062875,0.0062875,0.0062875
77,8288.24,0.47801,0.3168,0.87005,0.91853,0.87838,0.91327,0.58886,1.13375,0.6249,1.23669,0.006238,0.006238,0.006238
78,8539.94,0.47201,0.31737,0.86735,0.92694,0.85894,0.90861,0.55986,1.17316,0.67933,1.26769,0.0061885,0.0061885,0.0061885
79,8790.39,0.47128,0.31587,0.86887,0.90822,0.7916,0.85765,0.53782,1.14616,0.67543,1.24745,0.006139,0.006139,0.006139
80,9043.79,0.46652,0.31302,0.86646,0.93761,0.81964,0.9023,0.56253,1.13336,0.64102,1.24789,0.0060895,0.0060895,0.0060895
81,9296.91,0.46037,0.30826,0.86373,0.91156,0.77646,0.83861,0.5297,1.1477,0.72328,1.25884,0.00604,0.00604,0.00604
82,430.4,0.42057,0.2858,0.84797,0.9524,0.78023,0.84623,0.54468,1.12657,0.68595,1.24622,0.0059905,0.0059905,0.0059905
83,666.303,0.451,0.30354,0.85874,0.94946,0.80838,0.87449,0.56908,1.13494,0.67894,1.26093,0.005941,0.005941,0.005941
84,934.494,0.45687,0.30473,0.86214,0.92443,0.84704,0.89443,0.5708,1.12669,0.64989,1.26223,0.0058915,0.0058915,0.0058915
85,1192.37,0.4489,0.29923,0.85767,0.88453,0.82793,0.87993,0.55447,1.16213,0.69993,1.27511,0.005842,0.005842,0.005842
86,1450.83,0.44376,0.30079,0.85653,0.94328,0.83988,0.89694,0.57473,1.13339,0.63849,1.25344,0.0057925,0.0057925,0.0057925
87,1719.89,0.44724,0.30088,0.85806,0.85831,0.85167,0.8623,0.55028,1.1411,0.68537,1.2701,0.005743,0.005743,0.005743
88,1987.9,0.43769,0.29468,0.85239,0.94122,0.82146,0.88189,0.57158,1.14413,0.63716,1.26458,0.0056935,0.0056935,0.0056935
89,2253.27,0.4388,0.29495,0.85366,0.91482,0.86964,0.88883,0.5634,1.15327,0.63708,1.26591,0.005644,0.005644,0.005644
90,2520.47,0.43346,0.29322,0.85139,0.88735,0.85809,0.87562,0.55409,1.14338,0.69478,1.25605,0.0055945,0.0055945,0.0055945
91,2787.84,0.43499,0.29236,0.85268,0.90234,0.83888,0.88537,0.56913,1.13052,0.69102,1.2579,0.005545,0.005545,0.005545
92,3058.08,0.42799,0.29009,0.84959,0.91851,0.84738,0.8838,0.57309,1.12874,0.6748,1.25482,0.0054955,0.0054955,0.0054955
93,3331.21,0.43205,0.29656,0.85197,0.94345,0.84809,0.88618,0.58227,1.12623,0.65452,1.26004,0.005446,0.005446,0.005446
94,3619.85,0.42646,0.28887,0.84835,0.95709,0.8323,0.88876,0.57286,1.11404,0.65396,1.26294,0.0053965,0.0053965,0.0053965
95,3878.54,0.42054,0.28739,0.84683,0.83201,0.82665,0.85398,0.54401,1.12482,0.68508,1.25273,0.005347,0.005347,0.005347
96,4135.59,0.42255,0.28788,0.84606,0.95776,0.79648,0.87485,0.56262,1.12141,0.65519,1.25576,0.0052975,0.0052975,0.0052975
97,4401.54,0.4186,0.2861,0.84635,0.9233,0.85833,0.89792,0.57304,1.13523,0.6623,1.27144,0.005248,0.005248,0.005248
98,4700.83,0.4133,0.28402,0.84245,0.89686,0.82718,0.89346,0.57285,1.12261,0.63354,1.25895,0.0051985,0.0051985,0.0051985
99,4979.89,0.41174,0.28069,0.8438,0.95081,0.79242,0.87477,0.56524,1.12884,0.66962,1.26312,0.005149,0.005149,0.005149
100,5253.37,0.40478,0.27776,0.84074,0.94326,0.82779,0.88755,0.57045,1.13051,0.63283,1.2681,0.0050995,0.0050995,0.0050995
101,5523.74,0.4033,0.27526,0.83962,0.87842,0.82595,0.8656,0.56523,1.14033,0.66757,1.28004,0.00505,0.00505,0.00505
102,5784.23,0.40328,0.27936,0.83988,0.9201,0.78669,0.84692,0.54885,1.15367,0.6972,1.27381,0.0050005,0.0050005,0.0050005
103,6053.97,0.39617,0.27312,0.83713,0.93373,0.78661,0.84782,0.54637,1.14806,0.69736,1.26613,0.004951,0.004951,0.004951
104,6323.82,0.39926,0.27706,0.8382,0.93156,0.81672,0.86752,0.545,1.14543,0.68535,1.26703,0.0049015,0.0049015,0.0049015
105,6592.89,0.38927,0.26853,0.83463,0.88506,0.821,0.84467,0.54509,1.13934,0.71417,1.26413,0.004852,0.004852,0.004852
106,6862.28,0.38878,0.26872,0.83259,0.93021,0.82328,0.85081,0.54226,1.14133,0.71626,1.27257,0.0048025,0.0048025,0.0048025
107,7132.84,0.38637,0.26905,0.83293,0.91945,0.76935,0.83887,0.53819,1.13617,0.72522,1.26846,0.004753,0.004753,0.004753
108,7403.28,0.38682,0.26568,0.83339,0.89398,0.79049,0.84021,0.54021,1.14961,0.69867,1.28374,0.0047035,0.0047035,0.0047035
109,7673.76,0.38055,0.26173,0.83137,0.90395,0.81122,0.84466,0.54277,1.13652,0.70807,1.27375,0.004654,0.004654,0.004654
110,7944.12,0.38218,0.26638,0.83308,0.92032,0.8415,0.85183,0.54929,1.1386,0.70985,1.27663,0.0046045,0.0046045,0.0046045
111,8213.04,0.3817,0.26361,0.83127,0.92139,0.76835,0.83194,0.53931,1.1473,0.70466,1.28305,0.004555,0.004555,0.004555
112,8480.81,0.37611,0.26341,0.8288,0.92937,0.7877,0.833,0.53838,1.15538,0.73919,1.28926,0.0045055,0.0045055,0.0045055
113,8749.5,0.37078,0.25877,0.82664,0.8986,0.82222,0.83923,0.54477,1.14843,0.74729,1.28382,0.004456,0.004456,0.004456
114,9018.59,0.36991,0.25674,0.82622,0.92214,0.81759,0.84408,0.54398,1.14948,0.7341,1.28648,0.0044065,0.0044065,0.0044065
115,9285.7,0.36895,0.26251,0.82655,0.90502,0.81828,0.86528,0.5567,1.15834,0.74113,1.287,0.004357,0.004357,0.004357
116,9555.81,0.36376,0.2547,0.82436,0.91604,0.81025,0.859,0.55268,1.15145,0.7192,1.27831,0.0043075,0.0043075,0.0043075
117,9825.8,0.35987,0.25316,0.82373,0.91168,0.81002,0.85862,0.54913,1.1586,0.72213,1.28326,0.004258,0.004258,0.004258
